tracker	detector	nn	learner	sum
51	29	0	3	83
19	9	0	1	29
9	8	0	1	18
24	16	0	3	43
32	11	1	2	46
11	9	1	1	22
43	12	0	2	57
14	9	1	1	25
13	10	1	1	25
12	9	1	2	24
12	10	1	1	24
40	20	2	3	65
12	10	1	1	24
12	11	2	1	26
13	11	2	1	27
41	18	1	1	61
13	14	1	2	30
13	16	1	2	32
44	21	1	2	68
13	14	1	2	30
12	11	2	1	26
12	12	2	1	27
13	14	1	2	30
13	13	2	1	29
13	16	1	1	31
43	25	2	1	71
13	17	2	1	33
13	18	1	1	33
13	14	1	1	29
40	26	1	1	68
13	15	2	1	31
13	16	2	1	32
17	20	2	1	40
13	13	1	1	28
47	17	2	1	67
13	14	2	1	30
13	17	1	2	33
12	16	1	1	30
13	13	2	1	29
17	19	2	1	39
14	13	1	2	30
13	13	1	2	29
13	13	1	1	28
35	19	2	1	57
13	12	1	1	27
27	19	1	2	49
13	12	1	1	27
13	14	2	1	30
37	21	2	1	61
12	13	2	1	28
12	15	2	1	30
13	17	1	1	32
13	17	1	2	33
46	36	2	2	86
17	25	3	1	46
16	17	2	1	36
13	15	1	1	30
13	15	2	1	31
13	14	1	2	30
43	17	2	1	63
13	15	2	1	31
13	14	2	2	31
37	25	2	2	66
14	14	1	2	31
13	15	2	2	32
12	14	2	0	28
13	16	2	0	31
32	23	2	0	57
13	19	2	0	34
12	20	1	2	35
13	13	2	1	29
13	15	2	1	31
13	16	2	1	32
42	18	1	1	62
13	11	2	1	27
12	11	1	1	25
13	11	2	1	27
48	17	2	2	69
13	14	2	1	30
14	11	2	1	28
14	12	1	2	29
32	20	2	1	55
13	12	1	2	28
18	14	2	1	35
12	15	2	1	30
12	17	2	1	32
12	18	2	1	33
12	15	2	1	30
12	14	2	1	29
37	25	1	2	65
13	16	2	2	33
13	17	2	1	33
13	12	2	1	28
43	23	2	3	71
13	14	2	1	30
12	13	1	2	28
12	13	1	2	28
13	12	1	1	27
12	13	2	2	29
12	13	2	2	29
49	26	3	1	79
17	14	2	1	34
13	14	2	1	30
13	16	2	1	32
13	14	2	2	31
13	16	2	2	33
13	12	2	1	28
13	12	2	1	28
40	18	2	1	61
13	15	3	1	32
13	17	2	1	33
12	17	2	2	33
12	12	1	2	27
13	14	2	1	30
14	15	2	1	32
14	17	2	1	34
13	17	2	2	34
13	13	2	1	29
40	20	2	2	64
13	13	1	2	29
12	12	2	1	27
13	12	2	1	28
