tracker	detector	nn	learner	sum
16	20	0	1	37
13	18	0	2	33
13	20	0	1	34
13	20	0	1	34
13	20	0	1	34
13	20	0	2	35
13	20	0	1	34
13	20	0	1	34
13	22	0	1	36
14	20	0	2	36
13	21	1	1	36
13	22	0	1	36
13	22	0	2	37
13	23	0	1	37
13	22	1	1	37
13	23	0	1	37
13	21	1	1	36
13	21	1	1	36
12	25	1	1	39
13	21	1	2	37
12	23	1	1	37
16	25	0	1	42
13	30	0	2	45
25	24	1	2	52
25	26	1	3	55
27	26	1	2	56
26	29	1	2	58
24	29	1	3	57
25	29	0	3	57
24	31	1	3	59
24	30	1	1	56
26	33	2	3	64
25	28	1	4	58
26	31	1	3	61
26	32	1	3	62
25	31	0	3	59
24	30	1	3	58
25	31	1	3	60
27	29	1	3	60
28	30	1	3	62
26	33	0	4	63
26	29	1	2	58
24	31	1	2	58
37	34	3	5	79
36	37	1	4	78
23	33	1	3	60
25	34	1	4	64
37	34	1	3	75
25	34	2	2	63
25	35	1	2	63
13	36	1	3	53
24	39	1	3	67
25	36	1	2	64
24	37	2	2	65
14	38	1	1	54
14	38	1	3	56
24	38	1	3	66
23	37	1	5	66
36	39	2	3	80
24	37	1	3	65
24	38	2	4	68
41	38	3	4	86
36	38	2	4	80
35	29	3	3	70
49	47	13	5	114
46	39	1	6	92
47	34	1	5	87
46	34	1	5	86
46	36	1	5	88
51	35	1	4	91
48	35	2	4	89
46	35	1	4	86
47	37	1	4	89
46	37	2	5	90
51	38	1	6	96
47	39	2	5	93
49	40	2	5	96
49	40	1	5	95
47	42	2	5	96
48	39	1	4	92
48	37	2	4	91
38	39	1	4	82
36	38	2	4	80
34	40	1	3	78
27	39	1	2	69
22	38	1	3	64
23	41	1	2	67
23	40	1	3	67
23	40	1	3	67
21	37	1	3	62
21	44	1	3	69
23	39	1	3	66
21	44	0	2	67
23	41	0	2	66
22	43	0	3	68
22	39	1	0	62
12	39	0	0	51
11	47	0	3	61
22	41	0	2	65
25	44	0	2	71
24	43	1	0	68
13	47	0	0	60
12	44	1	0	57
2	43	0	0	45
2	49	0	0	51
2	42	0	0	44
2	42	1	0	45
2	42	0	0	44
2	43	0	0	45
3	42	0	0	45
1	43	0	0	44
2	43	0	0	45
2	44	0	0	46
2	39	0	0	41
2	45	1	0	48
1	42	1	0	44
2	42	1	0	45
1	45	0	0	46
2	43	0	0	45
1	43	0	0	44
1	43	0	0	44
2	41	0	0	43
1	44	1	2	48
15	43	0	2	60
14	43	0	1	58
12	42	0	1	55
14	42	1	1	58
14	41	1	2	58
22	39	1	3	65
24	39	1	3	67
25	40	2	2	69
21	40	2	2	65
24	42	0	3	69
25	44	0	3	72
25	42	1	2	70
26	41	0	3	70
24	43	1	3	71
25	45	1	2	73
28	40	0	3	71
23	41	1	3	68
24	41	0	4	69
24	40	0	3	67
25	42	1	5	73
28	42	1	1	72
24	40	1	1	66
24	42	1	1	68
27	42	1	1	71
24	43	1	1	69
24	43	0	3	70
23	44	1	2	70
25	42	1	4	72
34	43	1	5	83
34	42	1	4	81
34	42	1	5	82
34	42	0	4	80
33	42	1	4	80
35	43	1	4	83
34	43	1	5	83
37	42	1	4	84
33	43	1	4	81
36	45	1	4	86
34	42	2	4	82
36	45	1	4	86
36	44	1	4	85
34	43	1	4	82
34	42	2	4	82
35	42	1	4	82
34	44	1	4	83
34	45	1	4	84
32	45	1	5	83
34	45	1	4	84
36	47	1	5	89
34	44	1	4	83
34	45	2	4	85
35	43	2	4	84
35	43	1	4	83
37	44	1	5	87
36	45	1	4	86
36	44	2	5	87
36	44	0	4	84
32	44	1	1	78
32	44	1	3	80
12	45	1	1	59
11	44	1	3	59
22	42	0	3	67
21	42	0	2	65
12	44	1	1	58
12	43	0	2	57
11	44	1	1	57
12	46	1	1	60
11	44	0	2	57
12	44	1	4	61
34	45	1	4	84
36	45	1	5	87
32	44	2	3	81
23	50	0	3	76
20	45	1	1	67
12	45	2	1	60
17	47	1	1	66
13	44	2	1	60
12	46	2	3	63
25	46	1	3	75
32	44	2	4	82
24	44	2	3	73
25	44	2	2	73
25	46	1	3	75
25	47	1	3	76
25	46	1	4	76
26	49	2	3	80
24	46	1	3	74
25	49	0	3	77
25	47	2	3	77
24	48	2	2	76
24	49	1	1	75
8	51	1	0	60
3	52	0	0	55
2	54	0	0	56
2	57	0	0	59
1	58	0	0	59
2	54	0	0	56
1	49	0	1	51
1	47	0	0	48
2	44	0	0	46
1	40	0	0	41
2	42	1	0	45
2	43	1	0	46
1	40	0	0	41
2	40	0	0	42
2	41	0	0	43
1	42	0	0	43
2	40	0	0	42
2	43	0	0	45
1	43	0	0	44
1	41	0	0	42
1	42	1	0	44
2	44	0	0	46
2	42	1	0	45
2	43	0	0	45
2	43	0	0	45
1	43	0	1	45
2	52	1	0	55
2	45	1	0	48
1	45	0	0	46
2	46	1	0	49
1	44	1	0	46
2	47	0	0	49
2	44	0	0	46
1	43	1	0	45
2	46	0	0	48
2	47	0	0	49
1	49	0	0	50
2	54	0	0	56
2	57	0	0	59
2	55	1	0	58
2	55	1	0	58
1	55	0	0	56
1	62	0	0	63
1	54	0	0	55
2	53	1	0	56
2	51	1	1	55
11	51	1	2	65
12	50	1	1	64
14	50	1	1	66
13	49	2	1	65
13	45	1	3	62
21	45	1	3	70
22	44	2	1	69
14	44	1	2	61
13	44	1	2	60
13	45	2	1	61
16	52	1	2	71
12	45	1	2	60
13	44	1	1	59
13	47	2	1	63
13	45	2	1	61
14	46	1	1	62
14	44	1	3	62
24	47	1	3	75
23	45	2	4	74
27	46	1	3	77
25	46	1	3	75
25	46	0	3	74
25	46	0	3	74
24	50	1	2	77
25	47	1	2	75
26	46	1	2	75
25	47	0	3	75
26	46	1	3	76
25	47	1	4	77
25	47	1	4	77
25	46	1	3	75
26	44	2	2	74
25	46	1	3	75
26	47	1	3	77
26	44	1	3	74
26	52	1	3	82
25	47	0	3	75
25	46	1	3	75
24	47	1	3	75
27	47	2	2	78
14	46	2	2	64
13	51	4	3	71
25	46	1	4	76
25	46	1	3	75
25	50	1	3	79
23	56	1	2	82
11	48	1	2	62
7	13	0	0	20
2	15	0	0	17
2	18	0	0	20
1	18	0	0	19
1	20	0	0	21
2	20	0	0	22
1	21	1	1	24
12	22	2	0	36
1	23	1	0	25
2	23	1	0	26
1	23	1	2	27
14	23	1	1	39
12	23	0	1	36
13	25	1	1	40
13	25	0	1	39
12	25	0	2	39
12	27	0	2	41
13	24	1	1	39
13	26	1	1	41
14	25	1	2	42
13	24	0	2	39
14	25	0	2	41
13	25	0	1	39
13	24	0	2	39
13	24	0	2	39
13	30	0	3	46
13	24	0	1	38
13	24	0	2	39
14	25	0	2	41
13	26	0	2	41
13	28	0	1	42
13	27	0	2	42
13	25	1	1	40
13	26	0	2	41
12	25	0	0	37
2	22	0	2	26
9	20	0	0	29
11	22	0	2	35
7	20	0	0	27
10	18	0	0	28
4	18	0	0	22
1	25	1	0	27
1	34	0	0	35
1	44	1	0	46
2	46	0	0	48
2	52	2	0	56
1	47	1	0	49
1	51	0	2	54
7	45	1	1	54
8	48	1	1	58
14	47	1	2	64
25	47	1	1	74
23	46	1	3	73
25	48	1	3	77
34	49	2	2	87
20	47	2	2	71
21	48	2	4	75
31	48	2	4	85
32	48	1	4	85
32	51	2	4	89
33	46	2	4	85
32	47	1	4	84
32	45	2	4	83
32	45	1	3	81
33	48	1	2	84
24	48	0	3	75
25	47	1	2	75
26	48	0	4	78
24	49	1	2	76
25	46	1	2	74
24	45	0	2	71
29	52	0	2	83
13	46	1	1	61
16	48	1	1	66
13	46	0	0	59
2	45	1	0	48
2	46	1	2	51
13	47	1	2	63
13	48	1	2	64
